text,category,cleaned_text
Housekeeping did not clean the door.,Rooms,housekeeping not clean door
Bathroom AC was dusty.,Rooms,bathroom ac dusty
We ate at the restaurant and had protein.,Food,ate restaurant protein
I ordered curry and it tasted oily.,Food,ordered curry tasted oily
We were greeted by a friendly manager.,Services,greeted friendly manager
Evening gym was overcrowded.,Recreation,evening gym overcrowded
We were greeted by a fast cleaning staff.,Services,greeted fast cleaning staff
Check-in was slow thanks to the bellboy.,Services,checkin slow thanks bellboy
Breakfast buffet had amazing beverage selection.,Food,breakfast buffet amazing beverage selection
The pasta presentation was fresh.,Food,pasta presentation fresh
"Service was ignored, especially the staff.",Services,service ignored especially staff
My kids loved the massage.,Recreation,kid loved massage
Amazing hospitality from the bartender.,Services,amazing hospitality bartender
Amazing hospitality from the porter.,Services,amazing hospitality porter
Bathroom balcony was comfortable.,Rooms,bathroom balcony comfortable
The window made the stay dusty.,Rooms,window made stay dusty
Our room was very noisy and had a great view.,Rooms,room noisy great view
Breakfast buffet had amazing steak.,Food,breakfast buffet amazing steak
The dessert was exquisite.,Food,dessert exquisite
I complained to the staff.,Services,complained staff
I ordered menu options and it tasted yummy.,Food,ordered menu option tasted yummy
Bathroom lavatory was questionable.,Rooms,bathroom lavatory questionable
Check-in was helpful thanks to the receptionist.,Services,checkin helpful thanks receptionist
The rice was stale.,Food,rice stale
Sleeping was hard because of the balcony.,Rooms,sleeping hard balcony
"Service was polite, especially the cleaning staff.",Services,service polite especially cleaning staff
Dining experience was bad because of the tasty rice.,Food,dining experience bad tasty rice
Amazing hospitality from the manager.,Services,amazing hospitality manager
Room service brought us cold breakfast.,Food,roomservice brought u cold breakfast
Housekeeping did not clean the decor.,Rooms,housekeeping not clean decor
We waited too long for the driver.,Services,waited long driver
Our room was very trapping and had a great TV.,Rooms,room trapping great tv
The bar equipment was dirty.,Recreation,bar equipment dirty
Check-in was professional thanks to the service personnel.,Services,checkin professional thanks service personnel
"We loved the fridge, it was so dirty.",Rooms,loved fridge dirty
The staff at the front desk were warm.,Services,staff front desk warm
Dining experience was bad because of the yummy tea.,Food,dining experience bad yummy tea
The menu options presentation was undercooked.,Food,menu option presentation undercooked
We spent all day at the aquatic facility.,Recreation,spent day aquatic facility
Our room was very dusty and had a great pillow.,Rooms,room dusty great pillow
The hotel has a great spa.,Recreation,hotel great spa
Breakfast buffet had amazing bread.,Food,breakfast buffet amazing bread
The excursion equipment was crowded.,Recreation,excursion equipment crowded
Check-in was unhelpful thanks to the bellboy.,Services,checkin unhelpful thanks bellboy
"The suite needs renovation, especially the carpet.",Rooms,suite need renovation especially carpet
The concierge was very polite.,Services,concierge polite
Check-in was fast thanks to the concierge.,Services,checkin fast thanks concierge
Great steak but the menu options was bland.,Food,great steak menu option bland
Room service brought us cold curry.,Food,roomservice brought u cold curry
Bathroom shower was trapping.,Rooms,bathroom shower trapping
We ate at the restaurant and had tea.,Food,ate restaurant tea
"We loved the door, it was so terrible.",Rooms,loved door terrible
"Service was fast, especially the bellboy.",Services,service fast especially bellboy
Room service brought us cold dining.,Food,roomservice brought u cold dining
We ate at the restaurant and had coffee.,Food,ate restaurant coffee
We spent all day at the gym.,Recreation,spent day gym
The bed made the stay dirty.,Rooms,bed made stay dirty
Housekeeping did not clean the wifi.,Rooms,housekeeping not clean wifi
Dining experience was bad because of the disappointing protein.,Food,dining experience bad disappointing protein
Evening excursion was closed.,Recreation,evening excursion closed
"The suite needs renovation, especially the carpet.",Rooms,suite need renovation especially carpet
The staff at the front desk were arrogant.,Services,staff front desk arrogant
The staff at the front desk were arrogant.,Services,staff front desk arrogant
Bathroom AC was worn out.,Rooms,bathroom ac worn
Housekeeping did not clean the sink.,Rooms,housekeeping not clean sink
"The suite needs renovation, especially the balcony.",Rooms,suite need renovation especially balcony
The menu options was delicious.,Food,menu option delicious
Bathroom AC was tiny.,Rooms,bathroom ac tiny
We spent all day at the pool.,Recreation,spent day pool
The acoustics made the stay terrible.,Rooms,acoustic made stay terrible
I complained to the waiter.,Services,complained waiter
We were greeted by a rude cleaning staff.,Services,greeted rude cleaning staff
Breakfast buffet had amazing culinary experience.,Food,breakfast buffet amazing culinary experience
Great breakfast but the wine was fresh.,Food,great breakfast wine fresh
Swimming in the wellness center was the highlight.,Recreation,swimming wellness center highlight
The hotel has a great beach.,Recreation,hotel great beach
My kids loved the bar.,Recreation,kid loved bar
My kids loved the club.,Recreation,kid loved club
Swimming in the bar was the highlight.,Recreation,swimming bar highlight
"We loved the sheets, it was so dusty.",Rooms,loved sheet dusty
Check-in was professional thanks to the bellboy.,Services,checkin professional thanks bellboy
Swimming in the aquatic facility was the highlight.,Recreation,swimming aquatic facility highlight
"Don't miss the music, it is cheap.",Recreation,dont miss music cheap
The staff at the front desk were fast.,Services,staff front desk fast
The hotel has a great pool.,Recreation,hotel great pool
I ordered coffee and it tasted stale.,Food,ordered coffee tasted stale
Evening massage was relaxing.,Recreation,evening massage relaxing
The wifi made the stay broken.,Rooms,wifi made stay broken
The tea presentation was stale.,Food,tea presentation stale
"The suite needs renovation, especially the door.",Rooms,suite need renovation especially door
Sleeping was hard because of the fridge.,Rooms,sleeping hard fridge
Amazing hospitality from the porter.,Services,amazing hospitality porter
Check-in was warm thanks to the front desk agent.,Services,checkin warm thanks front desk agent
My kids loved the tour.,Recreation,kid loved tour
We ate at the restaurant and had pizza.,Food,ate restaurant pizza
I complained to the driver.,Services,complained driver
The culinary experience was stale.,Food,culinary experience stale
Swimming in the club was the highlight.,Recreation,swimming club highlight
Dining experience was bad because of the spicy beer.,Food,dining experience bad spicy beer
Room service brought us cold beer.,Food,roomservice brought u cold beer
Great salad but the chicken was raw.,Food,great salad chicken raw
The manager was very disinterested.,Services,manager disinterested
Our room was very tiny and had a great view.,Rooms,room tiny great view
Our room was very spacious and had a great window.,Rooms,room spacious great window
I complained to the bartender.,Services,complained bartender
Swimming in the massage was the highlight.,Recreation,swimming massage highlight
We were greeted by a slow driver.,Services,greeted slow driver
The shower made the stay old.,Rooms,shower made stay old
Room service brought us cold curry.,Food,roomservice brought u cold curry
We waited too long for the driver.,Services,waited long driver
"Service was rude, especially the staff.",Services,service rude especially staff
The sound insulation in my room was clean.,Rooms,sound insulation room clean
"Don't miss the wellness center, it is lacking.",Recreation,dont miss wellness center lacking
Amazing hospitality from the bellboy.,Services,amazing hospitality bellboy
The sound insulation made the stay dusty.,Rooms,sound insulation made stay dusty
Check-in was warm thanks to the concierge.,Services,checkin warm thanks concierge
We were greeted by a arrogant staff.,Services,greeted arrogant staff
The hotel has a great club.,Recreation,hotel great club
"Don't miss the bar, it is unsafe.",Recreation,dont miss bar unsafe
The tea was hot.,Food,tea hot
The carpet made the stay cozy.,Rooms,carpet made stay cozy
"Don't miss the kids club, it is expensive.",Recreation,dont miss kid club expensive
The hotel has a great bar.,Recreation,hotel great bar
The hotel has a great wellness center.,Recreation,hotel great wellness center
Swimming in the pool was the highlight.,Recreation,swimming pool highlight
"The suite needs renovation, especially the sound insulation.",Rooms,suite need renovation especially sound insulation
Check-in was friendly thanks to the bartender.,Services,checkin friendly thanks bartender
The beverage selection presentation was spicy.,Food,beverage selection presentation spicy
We ate at the restaurant and had tea.,Food,ate restaurant tea
The decor made the stay comfortable.,Rooms,decor made stay comfortable
"Don't miss the spa, it is dirty.",Recreation,dont miss spa dirty
We waited too long for the service personnel.,Services,waited long service personnel
The acoustics made the stay clean.,Rooms,acoustic made stay clean
Great beer but the beer was spicy.,Food,great beer beer spicy
Swimming in the wellness center was the highlight.,Recreation,swimming wellness center highlight
The sink made the stay worn out.,Rooms,sink made stay worn
The furniture made the stay dated.,Rooms,furniture made stay dated
I complained to the staff.,Services,complained staff
My kids loved the beach.,Recreation,kid loved beach
The decor made the stay worn out.,Rooms,decor made stay worn
Bathroom door was modern.,Rooms,bathroom door modern
Check-in was arrogant thanks to the bartender.,Services,checkin arrogant thanks bartender
The staff at the front desk were arrogant.,Services,staff front desk arrogant
Check-in was careless thanks to the bellboy.,Services,checkin careless thanks bellboy
Sleeping was hard because of the shower.,Rooms,sleeping hard shower
The hotel has a great music.,Recreation,hotel great music
The cleaning staff was very friendly.,Services,cleaning staff friendly
The burger presentation was bland.,Food,burger presentation bland
The excursion area was boring.,Recreation,excursion area boring
I ordered breakfast and it tasted dry.,Food,ordered breakfast tasted dry
Housekeeping did not clean the furniture.,Rooms,housekeeping not clean furniture
Breakfast buffet had amazing cake.,Food,breakfast buffet amazing cake
"Don't miss the wellness center, it is amazing.",Recreation,dont miss wellness center amazing
Great pizza but the beverage selection was undercooked.,Food,great pizza beverage selection undercooked
The club equipment was boring.,Recreation,club equipment boring
The tennis court equipment was dangerous.,Recreation,tennis court equipment dangerous
Our room was very dated and had a great door.,Rooms,room dated great door
The rice was delicious.,Food,rice delicious
The hotel has a great kids club.,Recreation,hotel great kid club
I complained to the concierge.,Services,complained concierge
The sheets made the stay spacious.,Rooms,sheet made stay spacious
We were greeted by a friendly receptionist.,Services,greeted friendly receptionist
Bathroom toilet was broken.,Rooms,bathroom toilet broken
We spent all day at the excursion.,Recreation,spent day excursion
Evening wellness center was clean.,Recreation,evening wellness center clean
We waited too long for the receptionist.,Services,waited long receptionist
The tour equipment was crowded.,Recreation,tour equipment crowded
The wifi in my room was noisy.,Rooms,wifi room noisy
Amazing hospitality from the manager.,Services,amazing hospitality manager
The beverage selection was oily.,Food,beverage selection oily
"Don't miss the spa, it is cheap.",Recreation,dont miss spa cheap
The sauce presentation was mediocre.,Food,sauce presentation mediocre
The staff at the front desk were rude.,Services,staff front desk rude
We spent all day at the beach.,Recreation,spent day beach
Bathroom view was dated.,Rooms,bathroom view dated
The culinary experience presentation was tasty.,Food,culinary experience presentation tasty
The club equipment was overcrowded.,Recreation,club equipment overcrowded
"We loved the balcony, it was so broken.",Rooms,loved balcony broken
Swimming in the massage was the highlight.,Recreation,swimming massage highlight
Housekeeping did not clean the AC.,Rooms,housekeeping not clean ac
We spent all day at the entertainment.,Recreation,spent day entertainment
I complained to the driver.,Services,complained driver
We waited too long for the manager.,Services,waited long manager
Breakfast buffet had amazing sauce.,Food,breakfast buffet amazing sauce
The wifi in my room was dusty.,Rooms,wifi room dusty
The staff at the front desk were polite.,Services,staff front desk polite
The music equipment was unsafe.,Recreation,music equipment unsafe
Amazing hospitality from the hospitality team.,Services,amazing hospitality hospitality team
"Don't miss the fitness area, it is relaxing.",Recreation,dont miss fitness area relaxing
"Don't miss the entertainment, it is fun.",Recreation,dont miss entertainment fun
We waited too long for the cleaning staff.,Services,waited long cleaning staff
Check-in was welcoming thanks to the porter.,Services,checkin welcoming thanks porter
Sleeping was hard because of the window.,Rooms,sleeping hard window
Bathroom suite aesthetic was old.,Rooms,bathroom suite aesthetic old
"We loved the sheets, it was so tiny.",Rooms,loved sheet tiny
The beach area was overcrowded.,Recreation,beach area overcrowded
Amazing hospitality from the cleaning staff.,Services,amazing hospitality cleaning staff
The TV made the stay modern.,Rooms,tv made stay modern
"Service was polite, especially the porter.",Services,service polite especially porter
I ordered chicken and it tasted tasty.,Food,ordered chicken tasted tasty
Breakfast buffet had amazing breakfast.,Food,breakfast buffet amazing breakfast
Check-in was unhelpful thanks to the cleaning staff.,Services,checkin unhelpful thanks cleaning staff
I complained to the service personnel.,Services,complained service personnel
Check-in was unhelpful thanks to the bartender.,Services,checkin unhelpful thanks bartender
The decor made the stay dusty.,Rooms,decor made stay dusty
Housekeeping did not clean the pillow.,Rooms,housekeeping not clean pillow
Room service brought us cold breakfast.,Food,roomservice brought u cold breakfast
The tour area was closed.,Recreation,tour area closed
We ate at the restaurant and had sauce.,Food,ate restaurant sauce
We ate at the restaurant and had beverage selection.,Food,ate restaurant beverage selection
Bathroom lights was dirty.,Rooms,bathroom light dirty
The chicken was mediocre.,Food,chicken mediocre
Check-in was slow thanks to the hospitality team.,Services,checkin slow thanks hospitality team
We were greeted by a careless receptionist.,Services,greeted careless receptionist
I complained to the front desk agent.,Services,complained front desk agent
"Service was attentive, especially the concierge.",Services,service attentive especially concierge
The hotel has a great tour.,Recreation,hotel great tour
The cleaning staff was very friendly.,Services,cleaning staff friendly
Great sauce but the dining was fresh.,Food,great sauce dining fresh
We spent all day at the fitness area.,Recreation,spent day fitness area
Housekeeping did not clean the sink.,Rooms,housekeeping not clean sink
Housekeeping did not clean the balcony.,Rooms,housekeeping not clean balcony
The staff at the front desk were friendly.,Services,staff front desk friendly
Bathroom lavatory was quiet.,Rooms,bathroom lavatory quiet
The pool area was fun.,Recreation,pool area fun
"The suite needs renovation, especially the pillow.",Rooms,suite need renovation especially pillow
"Service was attentive, especially the receptionist.",Services,service attentive especially receptionist
Sleeping was hard because of the AC.,Rooms,sleeping hard ac
Housekeeping did not clean the furniture.,Rooms,housekeeping not clean furniture
We were greeted by a professional staff.,Services,greeted professional staff
Check-in was unhelpful thanks to the hospitality team.,Services,checkin unhelpful thanks hospitality team
The manager was very slow.,Services,manager slow
Evening tour was cheap.,Recreation,evening tour cheap
The massage area was relaxing.,Recreation,massage area relaxing
The beach equipment was expensive.,Recreation,beach equipment expensive
We waited too long for the porter.,Services,waited long porter
Check-in was arrogant thanks to the waiter.,Services,checkin arrogant thanks waiter
"We loved the TV, it was so quiet.",Rooms,loved tv quiet
Dining experience was bad because of the tasty chicken.,Food,dining experience bad tasty chicken
We waited too long for the waiter.,Services,waited long waiter
Check-in was warm thanks to the manager.,Services,checkin warm thanks manager
Housekeeping did not clean the sound insulation.,Rooms,housekeeping not clean sound insulation
Great menu options but the culinary experience was bland.,Food,great menu option culinary experience bland
The chicken presentation was oily.,Food,chicken presentation oily
The staff at the front desk were friendly.,Services,staff front desk friendly
"Don't miss the kids club, it is closed.",Recreation,dont miss kid club closed
The tour equipment was boring.,Recreation,tour equipment boring
The fitness area equipment was unsafe.,Recreation,fitness area equipment unsafe
Great burger but the coffee was delicious.,Food,great burger coffee delicious
"The suite needs renovation, especially the balcony.",Rooms,suite need renovation especially balcony
Our room was very cozy and had a great sink.,Rooms,room cozy great sink
Housekeeping did not clean the window.,Rooms,housekeeping not clean window
I complained to the hospitality team.,Services,complained hospitality team
"We loved the bed, it was so worn out.",Rooms,loved bed worn
We were greeted by a careless service personnel.,Services,greeted careless service personnel
Amazing hospitality from the bartender.,Services,amazing hospitality bartender
Room service brought us cold sauce.,Food,roomservice brought u cold sauce
We spent all day at the bar.,Recreation,spent day bar
The sink in my room was spacious.,Rooms,sink room spacious
Sleeping was hard because of the acoustics.,Rooms,sleeping hard acoustic
The lights made the stay broken.,Rooms,light made stay broken
The door in my room was spacious.,Rooms,door room spacious
Dining experience was bad because of the cold coffee.,Food,dining experience bad cold coffee
Housekeeping did not clean the TV.,Rooms,housekeeping not clean tv
The waiter was very warm.,Services,waiter warm
My kids loved the tennis court.,Recreation,kid loved tennis court
The hotel has a great tennis court.,Recreation,hotel great tennis court
We spent all day at the tennis court.,Recreation,spent day tennis court
The AC in my room was old.,Rooms,ac room old
The hotel has a great excursion.,Recreation,hotel great excursion
Housekeeping did not clean the window.,Rooms,housekeeping not clean window
The fitness area area was unsafe.,Recreation,fitness area area unsafe
The excursion equipment was amazing.,Recreation,excursion equipment amazing
We spent all day at the fitness area.,Recreation,spent day fitness area
Housekeeping did not clean the view.,Rooms,housekeeping not clean view
I complained to the manager.,Services,complained manager
Our room was very tiny and had a great carpet.,Rooms,room tiny great carpet
"Service was professional, especially the bartender.",Services,service professional especially bartender
"Don't miss the club, it is relaxing.",Recreation,dont miss club relaxing
"The suite needs renovation, especially the wifi.",Rooms,suite need renovation especially wifi
"Service was welcoming, especially the cleaning staff.",Services,service welcoming especially cleaning staff
We waited too long for the waiter.,Services,waited long waiter
We waited too long for the bartender.,Services,waited long bartender
I ordered protein and it tasted oily.,Food,ordered protein tasted oily
The aquatic facility equipment was amazing.,Recreation,aquatic facility equipment amazing
We ate at the restaurant and had coffee.,Food,ate restaurant coffee
The beach equipment was closed.,Recreation,beach equipment closed
My kids loved the tour.,Recreation,kid loved tour
"Service was rude, especially the service personnel.",Services,service rude especially service personnel
The spa area was lacking.,Recreation,spa area lacking
I complained to the front desk agent.,Services,complained front desk agent
The aquatic facility equipment was dangerous.,Recreation,aquatic facility equipment dangerous
Great breakfast but the pizza was hot.,Food,great breakfast pizza hot
The pool equipment was amazing.,Recreation,pool equipment amazing
Amazing hospitality from the service personnel.,Services,amazing hospitality service personnel
"We loved the view, it was so dusty.",Rooms,loved view dusty
Housekeeping did not clean the TV.,Rooms,housekeeping not clean tv
The aquatic facility area was relaxing.,Recreation,aquatic facility area relaxing
Room service brought us cold steak.,Food,roomservice brought u cold steak
Bathroom pillow was spacious.,Rooms,bathroom pillow spacious
We were greeted by a unhelpful concierge.,Services,greeted unhelpful concierge
Room service brought us cold beverage selection.,Food,roomservice brought u cold beverage selection
The pillow made the stay worn out.,Rooms,pillow made stay worn
"The suite needs renovation, especially the view.",Rooms,suite need renovation especially view
Bathroom AC was noisy.,Rooms,bathroom ac noisy
We waited too long for the hospitality team.,Services,waited long hospitality team
The tour area was overcrowded.,Recreation,tour area overcrowded
Swimming in the tennis court was the highlight.,Recreation,swimming tennis court highlight
We spent all day at the tour.,Recreation,spent day tour
Great dining but the steak was meager.,Food,great dining steak meager
The hotel has a great gym.,Recreation,hotel great gym
The hotel has a great kids club.,Recreation,hotel great kid club
Dining experience was bad because of the greasy curry.,Food,dining experience bad greasy curry
The view in my room was clean.,Rooms,view room clean
The hotel has a great beach.,Recreation,hotel great beach
Check-in was warm thanks to the concierge.,Services,checkin warm thanks concierge
"Don't miss the massage, it is expensive.",Recreation,dont miss massage expensive
We were greeted by a fast driver.,Services,greeted fast driver
We were greeted by a unhelpful receptionist.,Services,greeted unhelpful receptionist
Breakfast buffet had amazing pasta.,Food,breakfast buffet amazing pasta
The protein presentation was non-existent.,Food,protein presentation nonexistent
The door in my room was old.,Rooms,door room old
Housekeeping did not clean the shower.,Rooms,housekeeping not clean shower
We were greeted by a slow manager.,Services,greeted slow manager
Swimming in the excursion was the highlight.,Recreation,swimming excursion highlight
Dining experience was bad because of the cold beer.,Food,dining experience bad cold beer
The curry was greasy.,Food,curry greasy
Breakfast buffet had amazing steak.,Food,breakfast buffet amazing steak
Room service brought us cold chicken.,Food,roomservice brought u cold chicken
The gym area was unsafe.,Recreation,gym area unsafe
I ordered culinary experience and it tasted bland.,Food,ordered culinary experience tasted bland
The hotel has a great aquatic facility.,Recreation,hotel great aquatic facility
Check-in was attentive thanks to the receptionist.,Services,checkin attentive thanks receptionist
Sleeping was hard because of the lavatory.,Rooms,sleeping hard lavatory
"Don't miss the massage, it is crowded.",Recreation,dont miss massage crowded
The bar area was overcrowded.,Recreation,bar area overcrowded
Check-in was friendly thanks to the cleaning staff.,Services,checkin friendly thanks cleaning staff
My kids loved the pool.,Recreation,kid loved pool
Housekeeping did not clean the fridge.,Rooms,housekeeping not clean fridge
Amazing hospitality from the staff.,Services,amazing hospitality staff
The balcony in my room was broken.,Rooms,balcony room broken
The carpet in my room was dusty.,Rooms,carpet room dusty
Dining experience was bad because of the fresh bread.,Food,dining experience bad fresh bread
I complained to the front desk agent.,Services,complained front desk agent
The coffee was cold.,Food,coffee cold
"We loved the window, it was so clean.",Rooms,loved window clean
The staff at the front desk were professional.,Services,staff front desk professional
I complained to the porter.,Services,complained porter
The hotel has a great spa.,Recreation,hotel great spa
Bathroom door was quiet.,Rooms,bathroom door quiet
"The suite needs renovation, especially the window.",Rooms,suite need renovation especially window
The beach area was crowded.,Recreation,beach area crowded
Our room was very broken and had a great pillow.,Rooms,room broken great pillow
Evening excursion was lacking.,Recreation,evening excursion lacking
Check-in was professional thanks to the receptionist.,Services,checkin professional thanks receptionist
Sleeping was hard because of the toilet.,Rooms,sleeping hard toilet
The bread presentation was stale.,Food,bread presentation stale
Dining experience was bad because of the cold pasta.,Food,dining experience bad cold pasta
We spent all day at the wellness center.,Recreation,spent day wellness center
Bathroom wifi was noisy.,Rooms,bathroom wifi noisy
The tennis court area was relaxing.,Recreation,tennis court area relaxing
We were greeted by a welcoming bellboy.,Services,greeted welcoming bellboy
My kids loved the tennis court.,Recreation,kid loved tennis court
"The suite needs renovation, especially the carpet.",Rooms,suite need renovation especially carpet
Swimming in the music was the highlight.,Recreation,swimming music highlight
The pizza was tasty.,Food,pizza tasty
I complained to the cleaning staff.,Services,complained cleaning staff
I ordered pasta and it tasted mediocre.,Food,ordered pasta tasted mediocre
Great culinary experience but the curry was delicious.,Food,great culinary experience curry delicious
Check-in was polite thanks to the front desk agent.,Services,checkin polite thanks front desk agent
Bathroom bed was cozy.,Rooms,bathroom bed cozy
Bathroom wifi was questionable.,Rooms,bathroom wifi questionable
"Don't miss the fitness area, it is unsafe.",Recreation,dont miss fitness area unsafe
Evening spa was cheap.,Recreation,evening spa cheap
We ate at the restaurant and had breakfast.,Food,ate restaurant breakfast
Breakfast buffet had amazing burger.,Food,breakfast buffet amazing burger
We spent all day at the wellness center.,Recreation,spent day wellness center
My kids loved the bar.,Recreation,kid loved bar
We ate at the restaurant and had beer.,Food,ate restaurant beer
I complained to the bartender.,Services,complained bartender
My kids loved the pool.,Recreation,kid loved pool
Housekeeping did not clean the toilet.,Rooms,housekeeping not clean toilet
The wine was meager.,Food,wine meager
I ordered beverage selection and it tasted hot.,Food,ordered beverage selection tasted hot
The window made the stay modern.,Rooms,window made stay modern
The excursion equipment was expensive.,Recreation,excursion equipment expensive
Check-in was arrogant thanks to the manager.,Services,checkin arrogant thanks manager
We spent all day at the tour.,Recreation,spent day tour
Sleeping was hard because of the sound insulation.,Rooms,sleeping hard sound insulation
The entertainment equipment was unsafe.,Recreation,entertainment equipment unsafe
The shower in my room was cozy.,Rooms,shower room cozy
The staff at the front desk were arrogant.,Services,staff front desk arrogant
The steak was undercooked.,Food,steak undercooked
My kids loved the entertainment.,Recreation,kid loved entertainment
The massage area was dirty.,Recreation,massage area dirty
"We loved the window, it was so questionable.",Rooms,loved window questionable
Breakfast buffet had amazing culinary experience.,Food,breakfast buffet amazing culinary experience
The manager was very friendly.,Services,manager friendly
My kids loved the tennis court.,Recreation,kid loved tennis court
The aquatic facility area was expensive.,Recreation,aquatic facility area expensive
Amazing hospitality from the cleaning staff.,Services,amazing hospitality cleaning staff
We were greeted by a rude concierge.,Services,greeted rude concierge
The hotel has a great tour.,Recreation,hotel great tour
The tour equipment was dirty.,Recreation,tour equipment dirty
"Don't miss the tour, it is dangerous.",Recreation,dont miss tour dangerous
Great pasta but the chicken was overcooked.,Food,great pasta chicken overcooked
Breakfast buffet had amazing beer.,Food,breakfast buffet amazing beer
The hotel has a great music.,Recreation,hotel great music
"The suite needs renovation, especially the bed.",Rooms,suite need renovation especially bed
Swimming in the fitness area was the highlight.,Recreation,swimming fitness area highlight
Great steak but the tea was spicy.,Food,great steak tea spicy
Dining experience was bad because of the greasy rice.,Food,dining experience bad greasy rice
I complained to the porter.,Services,complained porter
We ate at the restaurant and had dessert.,Food,ate restaurant dessert
The suite aesthetic made the stay tiny.,Rooms,suite aesthetic made stay tiny
Our room was very cozy and had a great toilet.,Rooms,room cozy great toilet
"The suite needs renovation, especially the wifi.",Rooms,suite need renovation especially wifi
Amazing hospitality from the bellboy.,Services,amazing hospitality bellboy
Evening tour was relaxing.,Recreation,evening tour relaxing
"Service was attentive, especially the manager.",Services,service attentive especially manager
"Service was arrogant, especially the cleaning staff.",Services,service arrogant especially cleaning staff
My kids loved the spa.,Recreation,kid loved spa
Bathroom decor was dated.,Rooms,bathroom decor dated
Bathroom window was clean.,Rooms,bathroom window clean
"We loved the pillow, it was so spacious.",Rooms,loved pillow spacious
Swimming in the tour was the highlight.,Recreation,swimming tour highlight
Breakfast buffet had amazing fish.,Food,breakfast buffet amazing fish
Amazing hospitality from the staff.,Services,amazing hospitality staff
"The suite needs renovation, especially the fridge.",Rooms,suite need renovation especially fridge
The staff at the front desk were friendly.,Services,staff front desk friendly
We ate at the restaurant and had dining.,Food,ate restaurant dining
The window made the stay spacious.,Rooms,window made stay spacious
We ate at the restaurant and had curry.,Food,ate restaurant curry
We spent all day at the fitness area.,Recreation,spent day fitness area
We ate at the restaurant and had chicken.,Food,ate restaurant chicken
The wellness center equipment was cheap.,Recreation,wellness center equipment cheap
Breakfast buffet had amazing bread.,Food,breakfast buffet amazing bread
Swimming in the beach was the highlight.,Recreation,swimming beach highlight
Great pasta but the fish was exquisite.,Food,great pasta fish exquisite
"We loved the toilet, it was so worn out.",Rooms,loved toilet worn
The massage area was dirty.,Recreation,massage area dirty
"The suite needs renovation, especially the view.",Rooms,suite need renovation especially view
My kids loved the bar.,Recreation,kid loved bar
Housekeeping did not clean the lavatory.,Rooms,housekeeping not clean lavatory
Our room was very modern and had a great toilet.,Rooms,room modern great toilet
Check-in was ignored thanks to the manager.,Services,checkin ignored thanks manager
The staff at the front desk were attentive.,Services,staff front desk attentive
Sleeping was hard because of the decor.,Rooms,sleeping hard decor
My kids loved the tennis court.,Recreation,kid loved tennis court
Our room was very smelly and had a great view.,Rooms,room smelly great view
We ate at the restaurant and had fish.,Food,ate restaurant fish
The wine presentation was fresh.,Food,wine presentation fresh
The aquatic facility area was relaxing.,Recreation,aquatic facility area relaxing
Great protein but the wine was salty.,Food,great protein wine salty
Our room was very old and had a great pillow.,Rooms,room old great pillow
Swimming in the spa was the highlight.,Recreation,swimming spa highlight
The lavatory in my room was broken.,Rooms,lavatory room broken
I ordered sauce and it tasted salty.,Food,ordered sauce tasted salty
Check-in was helpful thanks to the driver.,Services,checkin helpful thanks driver
"Don't miss the excursion, it is fun.",Recreation,dont miss excursion fun
Amazing hospitality from the porter.,Services,amazing hospitality porter
Swimming in the club was the highlight.,Recreation,swimming club highlight
"Don't miss the music, it is crowded.",Recreation,dont miss music crowded
Evening massage was lacking.,Recreation,evening massage lacking
We waited too long for the manager.,Services,waited long manager
The pasta presentation was hot.,Food,pasta presentation hot
I ordered tea and it tasted spicy.,Food,ordered tea tasted spicy
We ate at the restaurant and had steak.,Food,ate restaurant steak
The soup was tasty.,Food,soup tasty
The carpet in my room was worn out.,Rooms,carpet room worn
We ate at the restaurant and had fish.,Food,ate restaurant fish
Sleeping was hard because of the AC.,Rooms,sleeping hard ac
We waited too long for the staff.,Services,waited long staff
The sheets made the stay cozy.,Rooms,sheet made stay cozy
I complained to the bellboy.,Services,complained bellboy
Amazing hospitality from the front desk agent.,Services,amazing hospitality front desk agent
Swimming in the beach was the highlight.,Recreation,swimming beach highlight
Great sauce but the wine was fresh.,Food,great sauce wine fresh
The tennis court area was unsafe.,Recreation,tennis court area unsafe
Swimming in the tour was the highlight.,Recreation,swimming tour highlight
The hotel has a great club.,Recreation,hotel great club
The hotel has a great kids club.,Recreation,hotel great kid club
The staff at the front desk were slow.,Services,staff front desk slow
The lights made the stay quiet.,Rooms,light made stay quiet
We waited too long for the porter.,Services,waited long porter
Housekeeping did not clean the lights.,Rooms,housekeeping not clean light
Room service brought us cold dessert.,Food,roomservice brought u cold dessert
We ate at the restaurant and had coffee.,Food,ate restaurant coffee
My kids loved the kids club.,Recreation,kid loved kid club
The hotel has a great pool.,Recreation,hotel great pool
"The suite needs renovation, especially the sink.",Rooms,suite need renovation especially sink
Check-in was welcoming thanks to the bartender.,Services,checkin welcoming thanks bartender
"Service was friendly, especially the bellboy.",Services,service friendly especially bellboy
"Don't miss the aquatic facility, it is fun.",Recreation,dont miss aquatic facility fun
"Don't miss the beach, it is lacking.",Recreation,dont miss beach lacking
Housekeeping did not clean the view.,Rooms,housekeeping not clean view
"We loved the balcony, it was so smelly.",Rooms,loved balcony smelly
Sleeping was hard because of the bed.,Rooms,sleeping hard bed
My kids loved the gym.,Recreation,kid loved gym
The sound insulation made the stay cozy.,Rooms,sound insulation made stay cozy
