text,category,action
Room 201 has a dusty sink.,Rooms,Inspect Room & Maintenance
The fish was dry.,Food,Review Menu & Kitchen Quality
I cannot get the main door to open.,Rooms,Inspect Room & Maintenance
"Bathroom was disgusting, TV was clogged.",Rooms,Inspect Room & Maintenance
"Terrible dining experience, curry smelled bad.",Food,Review Menu & Kitchen Quality
I complained to the bellboy but they did check on us.,Services,Staff Training Required
There is a weird dripping sound coming from the bathroom.,Rooms,Inspect Room & Maintenance
"Room maintenance is poor, window kept leaking.",Rooms,Inspect Room & Maintenance
I asked for a towel at the pool but the staff forgot our order.,Services,Staff Training Required
The tennis court area is closed and needs attention.,Recreation,Upgrade Pool & Activities
"Nothing to do here, activities is dirty.",Recreation,Upgrade Pool & Activities
The tennis court was very boring.,Recreation,Upgrade Pool & Activities
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
The tea was overcooked.,Food,Review Menu & Kitchen Quality
"Kitchen needs improvement, pasta was burned.",Food,Review Menu & Kitchen Quality
The activities area is closed and needs attention.,Recreation,Upgrade Pool & Activities
"Room maintenance is poor, fridge kept making noise.",Rooms,Inspect Room & Maintenance
We were treated poorly by a angry bellboy.,Services,Staff Training Required
Nobody at the pool bar seemed interested in serving us.,Services,Staff Training Required
"Staff training is needed, receptionist was rude.",Services,Staff Training Required
"Kitchen needs improvement, pizza was overcooked.",Food,Review Menu & Kitchen Quality
"Kitchen needs improvement, fish was burned.",Food,Review Menu & Kitchen Quality
Very impolite behavior from the server.,Services,Staff Training Required
"Hotel needs more fun, pool was boring.",Recreation,Upgrade Pool & Activities
We found the breakfast to be cold and dry.,Food,Review Menu & Kitchen Quality
"Nothing to do here, gym is useless.",Recreation,Upgrade Pool & Activities
"Food quality is awful, especially the cake.",Food,Review Menu & Kitchen Quality
I cannot get the window to open.,Rooms,Inspect Room & Maintenance
We found the pizza to be stale and raw.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, pasta was not fresh.",Food,Review Menu & Kitchen Quality
I ordered pizza but it made me sick.,Food,Review Menu & Kitchen Quality
"Staff training is needed, waiter was angry.",Services,Staff Training Required
Nobody at the pool bar seemed interested in serving us.,Services,Staff Training Required
"Disappointed with the activities, it was dirty.",Recreation,Upgrade Pool & Activities
We found the steak to be tasteless and burned.,Food,Review Menu & Kitchen Quality
"Nothing to do here, kids club is outdated.",Recreation,Upgrade Pool & Activities
"We had issues with the shower, it was dusty.",Rooms,Inspect Room & Maintenance
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
"Disappointed with the beach, it was boring.",Recreation,Upgrade Pool & Activities
The steak was greasy.,Food,Review Menu & Kitchen Quality
"Please fix the sink, it is smells bad.",Rooms,Inspect Room & Maintenance
The toilet in my room was dirty.,Rooms,Inspect Room & Maintenance
"Room maintenance is poor, lights kept failing.",Rooms,Inspect Room & Maintenance
"Bathroom was disgusting, TV was damaged.",Rooms,Inspect Room & Maintenance
The tennis court area is expensive and needs attention.,Recreation,Upgrade Pool & Activities
The buffet was bland.,Food,Review Menu & Kitchen Quality
We found the steak to be undercooked and bland.,Food,Review Menu & Kitchen Quality
There is a weird dripping sound coming from the AC.,Rooms,Inspect Room & Maintenance
We found the pizza to be tasteless and bland.,Food,Review Menu & Kitchen Quality
"Nothing to do here, spa is empty.",Recreation,Upgrade Pool & Activities
"We had issues with the balcony, it was not working.",Rooms,Inspect Room & Maintenance
The tea was bland.,Food,Review Menu & Kitchen Quality
The wifi in my room was clogged.,Rooms,Inspect Room & Maintenance
I asked for a towel at the pool but the staff scolded me.,Services,Staff Training Required
The guy at the tennis court was very unhelpful.,Services,Staff Training Required
"Terrible dining experience, curry was disappointing.",Food,Review Menu & Kitchen Quality
"Bathroom was disgusting, lock was stained.",Rooms,Inspect Room & Maintenance
"We had issues with the AC, it was clogged.",Rooms,Inspect Room & Maintenance
I ordered breakfast but it lacked flavor.,Food,Review Menu & Kitchen Quality
We found the soup to be undercooked and cold.,Food,Review Menu & Kitchen Quality
"We were bored, the games needs an upgrade.",Recreation,Upgrade Pool & Activities
The ceiling makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Terrible dining experience, steak was not fresh.",Food,Review Menu & Kitchen Quality
"Terrible dining experience, fish made me sick.",Food,Review Menu & Kitchen Quality
Room 201 has a clogged lights.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, spa was expensive.",Recreation,Upgrade Pool & Activities
The carpet makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Please fix the shower, it is not working.",Rooms,Inspect Room & Maintenance
"Nothing to do here, activities is crowded.",Recreation,Upgrade Pool & Activities
"We were bored, the games needs an upgrade.",Recreation,Upgrade Pool & Activities
"Nothing to do here, games is cold.",Recreation,Upgrade Pool & Activities
"Bathroom was disgusting, wifi was damp.",Rooms,Inspect Room & Maintenance
I cannot get the window to lock.,Rooms,Inspect Room & Maintenance
"We were bored, the bar needs an upgrade.",Recreation,Upgrade Pool & Activities
I ordered pasta but it was not fresh.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, tea smelled bad.",Food,Review Menu & Kitchen Quality
The guy at the gym was very aggressive.,Services,Staff Training Required
I ordered rice but it was not fresh.,Food,Review Menu & Kitchen Quality
The fish was bland.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, soup tasted terrible.",Food,Review Menu & Kitchen Quality
"Food quality is greasy, especially the burger.",Food,Review Menu & Kitchen Quality
Very aggressive behavior from the employee.,Services,Staff Training Required
I asked for a towel at the pool but the staff argued with us.,Services,Staff Training Required
"Terrible dining experience, breakfast was disappointing.",Food,Review Menu & Kitchen Quality
"Nothing to do here, activities is useless.",Recreation,Upgrade Pool & Activities
"We had issues with the ceiling, it was dirty.",Rooms,Inspect Room & Maintenance
The ceiling makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Terrible dining experience, cake tasted terrible.",Food,Review Menu & Kitchen Quality
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
I asked for a towel at the pool but the staff kept us waiting.,Services,Staff Training Required
"Room maintenance is poor, fridge kept making noise.",Rooms,Inspect Room & Maintenance
The activities area is boring and needs attention.,Recreation,Upgrade Pool & Activities
"Hotel needs more fun, spa was cold.",Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, dessert was oily.",Food,Review Menu & Kitchen Quality
The chicken was salty.,Food,Review Menu & Kitchen Quality
I ordered pasta but it was waste of money.,Food,Review Menu & Kitchen Quality
"Staff training is needed, cleaning staff was mean.",Services,Staff Training Required
"We were bored, the pool needs an upgrade.",Recreation,Upgrade Pool & Activities
I asked for a towel at the pool but the staff rolled their eyes.,Services,Staff Training Required
"Kitchen needs improvement, rice was undercooked.",Food,Review Menu & Kitchen Quality
I ordered pasta but it tasted terrible.,Food,Review Menu & Kitchen Quality
Very unhelpful behavior from the cleaning staff.,Services,Staff Training Required
"Terrible dining experience, rice smelled bad.",Food,Review Menu & Kitchen Quality
"Zero service at the rooftop bar, we waited 20 mins.",Services,Staff Training Required
The carpet smells like mildew.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, games was boring.",Recreation,Upgrade Pool & Activities
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
"We were bored, the games needs an upgrade.",Recreation,Upgrade Pool & Activities
The guy at the tennis court was very rude.,Services,Staff Training Required
The breakfast was overcooked.,Food,Review Menu & Kitchen Quality
"Staff training is needed, bartender was unfriendly.",Services,Staff Training Required
We found the pasta to be bland and dry.,Food,Review Menu & Kitchen Quality
"Kitchen needs improvement, pizza was salty.",Food,Review Menu & Kitchen Quality
The guy at the tennis court was very arrogant.,Services,Staff Training Required
"We were bored, the gym needs an upgrade.",Recreation,Upgrade Pool & Activities
"Zero service at the beach bar, we waited 20 mins.",Services,Staff Training Required
"Bathroom was disgusting, bed was damp.",Rooms,Inspect Room & Maintenance
There is a weird dripping sound coming from the bathroom.,Rooms,Inspect Room & Maintenance
"We were bored, the entertainment needs an upgrade.",Recreation,Upgrade Pool & Activities
The guy at the gym was very incompetent.,Services,Staff Training Required
The soup was stale.,Food,Review Menu & Kitchen Quality
I cannot get the window to lock.,Rooms,Inspect Room & Maintenance
I ordered burger but it was waste of money.,Food,Review Menu & Kitchen Quality
"We had issues with the toilet, it was smells like dog.",Rooms,Inspect Room & Maintenance
"Hotel needs more fun, tennis court was useless.",Recreation,Upgrade Pool & Activities
We found the breakfast to be bland and raw.,Food,Review Menu & Kitchen Quality
The entertainment area is useless and needs attention.,Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, soup was bland.",Food,Review Menu & Kitchen Quality
We found the steak to be dry and inadible.,Food,Review Menu & Kitchen Quality
We found the rice to be burned and inadible.,Food,Review Menu & Kitchen Quality
"Kitchen needs improvement, buffet was awful.",Food,Review Menu & Kitchen Quality
We found the soup to be overcooked and dry.,Food,Review Menu & Kitchen Quality
"Hotel needs more fun, tennis court was closed.",Recreation,Upgrade Pool & Activities
The fan in my room was wet.,Rooms,Inspect Room & Maintenance
The bar area is empty and needs attention.,Recreation,Upgrade Pool & Activities
"Service was terrible, the server argued with us.",Services,Staff Training Required
The lights in my room was dusty.,Rooms,Inspect Room & Maintenance
I ordered curry but it was not good.,Food,Review Menu & Kitchen Quality
The games was very useless.,Recreation,Upgrade Pool & Activities
The chicken was burned.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, chicken made me sick.",Food,Review Menu & Kitchen Quality
"Zero service at the beach bar, we waited 20 mins.",Services,Staff Training Required
"We were bored, the gym needs an upgrade.",Recreation,Upgrade Pool & Activities
We were treated poorly by a unfriendly waiter.,Services,Staff Training Required
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
The guy at the tennis court was very unprofessional.,Services,Staff Training Required
"Terrible dining experience, cake made me sick.",Food,Review Menu & Kitchen Quality
We found the tea to be overcooked and raw.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, breakfast was not fresh.",Food,Review Menu & Kitchen Quality
The entertainment area is crowded and needs attention.,Recreation,Upgrade Pool & Activities
Room 201 has a stained fridge.,Rooms,Inspect Room & Maintenance
There is a weird dripping sound coming from the AC.,Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, steak was oily.",Food,Review Menu & Kitchen Quality
The room smells like smoke.,Rooms,Inspect Room & Maintenance
The waiter was extremely impolite.,Services,Staff Training Required
"We were bored, the entertainment needs an upgrade.",Recreation,Upgrade Pool & Activities
"Staff training is needed, waiter was lazy.",Services,Staff Training Required
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
Room 201 has a smells like dog balcony.,Rooms,Inspect Room & Maintenance
I cannot get the safe to close.,Rooms,Inspect Room & Maintenance
"Nothing to do here, gym is crowded.",Recreation,Upgrade Pool & Activities
I cannot get the window to open.,Rooms,Inspect Room & Maintenance
The staff was extremely angry.,Services,Staff Training Required
"Kitchen needs improvement, chicken was raw.",Food,Review Menu & Kitchen Quality
"Food quality is oily, especially the buffet.",Food,Review Menu & Kitchen Quality
"Terrible dining experience, burger lacked flavor.",Food,Review Menu & Kitchen Quality
"Terrible dining experience, dessert made me sick.",Food,Review Menu & Kitchen Quality
The pool was very useless.,Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, coffee was salty.",Food,Review Menu & Kitchen Quality
I ordered chicken but it smelled bad.,Food,Review Menu & Kitchen Quality
"Staff training is needed, waiter was unfriendly.",Services,Staff Training Required
"Disappointed with the kids club, it was outdated.",Recreation,Upgrade Pool & Activities
The guy at the gym was very unprofessional.,Services,Staff Training Required
There is a weird dripping sound coming from the bathroom.,Rooms,Inspect Room & Maintenance
"Food quality is overcooked, especially the rice.",Food,Review Menu & Kitchen Quality
"Hotel needs more fun, music was small.",Recreation,Upgrade Pool & Activities
"Staff training is needed, staff was unfriendly.",Services,Staff Training Required
I asked for a towel at the pool but the staff scolded me.,Services,Staff Training Required
We were treated poorly by a incompetent concierge.,Services,Staff Training Required
The ceiling in my room was dusty.,Rooms,Inspect Room & Maintenance
"Food quality is burned, especially the soup.",Food,Review Menu & Kitchen Quality
The gym was very small.,Recreation,Upgrade Pool & Activities
"Hotel needs more fun, spa was outdated.",Recreation,Upgrade Pool & Activities
Very angry behavior from the bartender.,Services,Staff Training Required
The sink in my room was wet.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, games was small.",Recreation,Upgrade Pool & Activities
"Hotel needs more fun, bar was dirty.",Recreation,Upgrade Pool & Activities
We were treated poorly by a unprofessional staff.,Services,Staff Training Required
"Terrible dining experience, curry was not good.",Food,Review Menu & Kitchen Quality
"Service was terrible, the server forgot our order.",Services,Staff Training Required
"Hotel needs more fun, games was useless.",Recreation,Upgrade Pool & Activities
"Food quality is undercooked, especially the tea.",Food,Review Menu & Kitchen Quality
"Disappointed with the games, it was small.",Recreation,Upgrade Pool & Activities
"Bathroom was disgusting, ceiling was leaking.",Rooms,Inspect Room & Maintenance
There is a weird dripping sound coming from the AC.,Rooms,Inspect Room & Maintenance
Nobody at the pool bar seemed interested in serving us.,Services,Staff Training Required
I ordered buffet but it tasted terrible.,Food,Review Menu & Kitchen Quality
"Service was terrible, the manager forgot our order.",Services,Staff Training Required
The tennis court was very dirty.,Recreation,Upgrade Pool & Activities
The room smells like wet dog.,Rooms,Inspect Room & Maintenance
The curtain smells like mildew.,Rooms,Inspect Room & Maintenance
"Food quality is bland, especially the buffet.",Food,Review Menu & Kitchen Quality
"Hotel needs more fun, gym was empty.",Recreation,Upgrade Pool & Activities
"Staff training is needed, bellboy was lazy.",Services,Staff Training Required
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
I cannot get the safe to close.,Rooms,Inspect Room & Maintenance
"Please fix the shower, it is broken.",Rooms,Inspect Room & Maintenance
I ordered breakfast but it was not good.,Food,Review Menu & Kitchen Quality
The sink in my room was dirty.,Rooms,Inspect Room & Maintenance
"Nothing to do here, music is closed.",Recreation,Upgrade Pool & Activities
"We had issues with the bed, it was broken.",Rooms,Inspect Room & Maintenance
Room 201 has a dusty balcony.,Rooms,Inspect Room & Maintenance
"Disappointed with the games, it was expensive.",Recreation,Upgrade Pool & Activities
I cannot get the safe to close.,Rooms,Inspect Room & Maintenance
We found the chicken to be raw and dry.,Food,Review Menu & Kitchen Quality
Room 201 has a moldy carpet.,Rooms,Inspect Room & Maintenance
The fan makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Food quality is stale, especially the tea.",Food,Review Menu & Kitchen Quality
We found the fish to be raw and overcooked.,Food,Review Menu & Kitchen Quality
"Food quality is dry, especially the curry.",Food,Review Menu & Kitchen Quality
I ordered pasta but it was waste of money.,Food,Review Menu & Kitchen Quality
The carpet smells like mildew.,Rooms,Inspect Room & Maintenance
The bar was very useless.,Recreation,Upgrade Pool & Activities
"Service was terrible, the manager yelled at me.",Services,Staff Training Required
"Hotel needs more fun, entertainment was boring.",Recreation,Upgrade Pool & Activities
"Hotel needs more fun, kids club was expensive.",Recreation,Upgrade Pool & Activities
We were treated poorly by a unprofessional staff.,Services,Staff Training Required
"Food quality is overcooked, especially the breakfast.",Food,Review Menu & Kitchen Quality
"Nothing to do here, music is dirty.",Recreation,Upgrade Pool & Activities
"Service was terrible, the employee yelled at me.",Services,Staff Training Required
We found the tea to be bland and dry.,Food,Review Menu & Kitchen Quality
"Service was terrible, the employee rolled their eyes.",Services,Staff Training Required
"Disappointed with the entertainment, it was cold.",Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, rice was stale.",Food,Review Menu & Kitchen Quality
The room smells like mildew.,Rooms,Inspect Room & Maintenance
The music was very dirty.,Recreation,Upgrade Pool & Activities
"Bathroom was disgusting, TV was not working.",Rooms,Inspect Room & Maintenance
I complained to the server but they refused to help.,Services,Staff Training Required
I ordered steak but it was not good.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, tea was disappointing.",Food,Review Menu & Kitchen Quality
The pasta was inadible.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, buffet smelled bad.",Food,Review Menu & Kitchen Quality
The guy at the pool was very angry.,Services,Staff Training Required
I asked for a towel at the pool but the staff forgot our order.,Services,Staff Training Required
The ceiling in my room was wont lock.,Rooms,Inspect Room & Maintenance
"Nothing to do here, tennis court is boring.",Recreation,Upgrade Pool & Activities
"Staff training is needed, receptionist was slow.",Services,Staff Training Required
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
"Nothing to do here, games is crowded.",Recreation,Upgrade Pool & Activities
I ordered cake but it tasted terrible.,Food,Review Menu & Kitchen Quality
I asked for a towel at the pool but the staff scolded me.,Services,Staff Training Required
The burger was awful.,Food,Review Menu & Kitchen Quality
We found the tea to be dry and undercooked.,Food,Review Menu & Kitchen Quality
The guy at the tennis court was very arrogant.,Services,Staff Training Required
"Kitchen needs improvement, soup was tasteless.",Food,Review Menu & Kitchen Quality
"We had issues with the toilet, it was old.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, coffee was awful.",Food,Review Menu & Kitchen Quality
Very unfriendly behavior from the waiter.,Services,Staff Training Required
Room 201 has a damp toilet.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, spa was boring.",Recreation,Upgrade Pool & Activities
The gym area is expensive and needs attention.,Recreation,Upgrade Pool & Activities
The server was extremely aggressive.,Services,Staff Training Required
The gym area is cold and needs attention.,Recreation,Upgrade Pool & Activities
"Terrible dining experience, tea was waste of money.",Food,Review Menu & Kitchen Quality
"Bathroom was disgusting, TV was damaged.",Rooms,Inspect Room & Maintenance
The kids club was very small.,Recreation,Upgrade Pool & Activities
"Food quality is oily, especially the buffet.",Food,Review Menu & Kitchen Quality
"Zero service at the beach bar, we waited 20 mins.",Services,Staff Training Required
"Hotel needs more fun, games was dirty.",Recreation,Upgrade Pool & Activities
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
The activities was very empty.,Recreation,Upgrade Pool & Activities
The gym was very empty.,Recreation,Upgrade Pool & Activities
Room 201 has a smelly shower.,Rooms,Inspect Room & Maintenance
Room 201 has a smelly balcony.,Rooms,Inspect Room & Maintenance
The music was very useless.,Recreation,Upgrade Pool & Activities
The carpet smells like smoke.,Rooms,Inspect Room & Maintenance
We were treated poorly by a unprofessional receptionist.,Services,Staff Training Required
"Nothing to do here, gym is boring.",Recreation,Upgrade Pool & Activities
The bed makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
The games was very cold.,Recreation,Upgrade Pool & Activities
"Disappointed with the kids club, it was boring.",Recreation,Upgrade Pool & Activities
The pasta was tasteless.,Food,Review Menu & Kitchen Quality
I complained to the concierge but they ignored us.,Services,Staff Training Required
"Room maintenance is poor, lock kept making noise.",Rooms,Inspect Room & Maintenance
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
"Zero service at the rooftop bar, we waited 20 mins.",Services,Staff Training Required
"Bathroom was disgusting, sink was stained.",Rooms,Inspect Room & Maintenance
The bartender was extremely mean.,Services,Staff Training Required
I asked for a towel at the pool but the staff yelled at me.,Services,Staff Training Required
"Room maintenance is poor, fridge kept making noise.",Rooms,Inspect Room & Maintenance
"Terrible dining experience, pizza lacked flavor.",Food,Review Menu & Kitchen Quality
"Staff training is needed, employee was rude.",Services,Staff Training Required
The buffet was awful.,Food,Review Menu & Kitchen Quality
I ordered chicken but it made me sick.,Food,Review Menu & Kitchen Quality
The wifi in my room was old.,Rooms,Inspect Room & Maintenance
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
"Service was terrible, the waiter refused to help.",Services,Staff Training Required
"Hotel needs more fun, pool was dirty.",Recreation,Upgrade Pool & Activities
I asked for a towel at the pool but the staff ignored us.,Services,Staff Training Required
"Hotel needs more fun, spa was cold.",Recreation,Upgrade Pool & Activities
I ordered buffet but it made me sick.,Food,Review Menu & Kitchen Quality
"Disappointed with the activities, it was crowded.",Recreation,Upgrade Pool & Activities
We were treated poorly by a angry employee.,Services,Staff Training Required
The beach was very boring.,Recreation,Upgrade Pool & Activities
"Nothing to do here, spa is boring.",Recreation,Upgrade Pool & Activities
"We had issues with the lock, it was dusty.",Rooms,Inspect Room & Maintenance
"Terrible dining experience, dessert tasted terrible.",Food,Review Menu & Kitchen Quality
The spa area is empty and needs attention.,Recreation,Upgrade Pool & Activities
"Disappointed with the pool, it was cold.",Recreation,Upgrade Pool & Activities
"Nothing to do here, activities is expensive.",Recreation,Upgrade Pool & Activities
"Zero service at the beach bar, we waited 20 mins.",Services,Staff Training Required
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
Very unprofessional behavior from the server.,Services,Staff Training Required
The music area is small and needs attention.,Recreation,Upgrade Pool & Activities
I ordered dessert but it was not good.,Food,Review Menu & Kitchen Quality
I complained to the staff but they was on their phone.,Services,Staff Training Required
"Service was terrible, the cleaning staff scolded me.",Services,Staff Training Required
"Zero service at the beach bar, we waited 20 mins.",Services,Staff Training Required
The curtain smells like smoke.,Rooms,Inspect Room & Maintenance
The games area is expensive and needs attention.,Recreation,Upgrade Pool & Activities
"Zero service at the beach bar, we waited 20 mins.",Services,Staff Training Required
The beach was very expensive.,Recreation,Upgrade Pool & Activities
"We were bored, the pool needs an upgrade.",Recreation,Upgrade Pool & Activities
Nobody at the bar seemed interested in serving us.,Services,Staff Training Required
"Terrible dining experience, steak made me sick.",Food,Review Menu & Kitchen Quality
"Please fix the lock, it is dusty.",Rooms,Inspect Room & Maintenance
There is a weird dripping sound coming from the bathroom.,Rooms,Inspect Room & Maintenance
"Service was terrible, the employee argued with us.",Services,Staff Training Required
"Terrible dining experience, breakfast was disappointing.",Food,Review Menu & Kitchen Quality
"Terrible dining experience, tea was not good.",Food,Review Menu & Kitchen Quality
"Terrible dining experience, chicken was not fresh.",Food,Review Menu & Kitchen Quality
The TV makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
The rice was tasteless.,Food,Review Menu & Kitchen Quality
"Nothing to do here, pool is crowded.",Recreation,Upgrade Pool & Activities
I ordered dessert but it was not fresh.,Food,Review Menu & Kitchen Quality
"Nothing to do here, gym is expensive.",Recreation,Upgrade Pool & Activities
"Terrible dining experience, dessert was not good.",Food,Review Menu & Kitchen Quality
"Nothing to do here, tennis court is outdated.",Recreation,Upgrade Pool & Activities
"Food quality is greasy, especially the breakfast.",Food,Review Menu & Kitchen Quality
The steak was inadible.,Food,Review Menu & Kitchen Quality
The curry was bland.,Food,Review Menu & Kitchen Quality
"Food quality is undercooked, especially the chicken.",Food,Review Menu & Kitchen Quality
I asked for a towel at the pool but the staff refused to help.,Services,Staff Training Required
The activities area is small and needs attention.,Recreation,Upgrade Pool & Activities
Nobody at the pool bar seemed interested in serving us.,Services,Staff Training Required
"We were bored, the music needs an upgrade.",Recreation,Upgrade Pool & Activities
"We were bored, the gym needs an upgrade.",Recreation,Upgrade Pool & Activities
The music area is outdated and needs attention.,Recreation,Upgrade Pool & Activities
"Nothing to do here, spa is crowded.",Recreation,Upgrade Pool & Activities
"Service was terrible, the concierge did check on us.",Services,Staff Training Required
"Food quality is raw, especially the dessert.",Food,Review Menu & Kitchen Quality
"Staff training is needed, bellboy was impolite.",Services,Staff Training Required
"Nothing to do here, bar is closed.",Recreation,Upgrade Pool & Activities
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
"Disappointed with the spa, it was crowded.",Recreation,Upgrade Pool & Activities
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
"Service was terrible, the bellboy kept us waiting.",Services,Staff Training Required
The pool area is boring and needs attention.,Recreation,Upgrade Pool & Activities
"Disappointed with the pool, it was expensive.",Recreation,Upgrade Pool & Activities
"Food quality is salty, especially the chicken.",Food,Review Menu & Kitchen Quality
"Nothing to do here, games is useless.",Recreation,Upgrade Pool & Activities
"Terrible dining experience, rice smelled bad.",Food,Review Menu & Kitchen Quality
The kids club was very crowded.,Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, dessert was cold.",Food,Review Menu & Kitchen Quality
Room 201 has a smells bad carpet.,Rooms,Inspect Room & Maintenance
The games was very outdated.,Recreation,Upgrade Pool & Activities
The server was extremely unhelpful.,Services,Staff Training Required
"Bathroom was disgusting, AC was wet.",Rooms,Inspect Room & Maintenance
The chicken was burned.,Food,Review Menu & Kitchen Quality
The spa area is useless and needs attention.,Recreation,Upgrade Pool & Activities
"Disappointed with the beach, it was expensive.",Recreation,Upgrade Pool & Activities
The wifi in my room was smells like dog.,Rooms,Inspect Room & Maintenance
I asked for a towel at the pool but the staff ignored us.,Services,Staff Training Required
The pasta was overcooked.,Food,Review Menu & Kitchen Quality
The sink makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, pool was useless.",Recreation,Upgrade Pool & Activities
"Disappointed with the music, it was crowded.",Recreation,Upgrade Pool & Activities
"Service was terrible, the bartender did check on us.",Services,Staff Training Required
The manager was extremely slow.,Services,Staff Training Required
The guy at the gym was very incompetent.,Services,Staff Training Required
The beach area is empty and needs attention.,Recreation,Upgrade Pool & Activities
The bed smells like wet dog.,Rooms,Inspect Room & Maintenance
The guy at the pool was very slow.,Services,Staff Training Required
"Kitchen needs improvement, chicken was salty.",Food,Review Menu & Kitchen Quality
"Please fix the window, it is smells like dog.",Rooms,Inspect Room & Maintenance
"We were bored, the pool needs an upgrade.",Recreation,Upgrade Pool & Activities
"We had issues with the wifi, it was not working.",Rooms,Inspect Room & Maintenance
The wifi makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Disappointed with the tennis court, it was small.",Recreation,Upgrade Pool & Activities
"Hotel needs more fun, tennis court was closed.",Recreation,Upgrade Pool & Activities
I ordered fish but it lacked flavor.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, steak made me sick.",Food,Review Menu & Kitchen Quality
"Service was terrible, the manager ignored us.",Services,Staff Training Required
I complained to the employee but they forgot our order.,Services,Staff Training Required
The entertainment was very boring.,Recreation,Upgrade Pool & Activities
Very rude behavior from the bellboy.,Services,Staff Training Required
I ordered rice but it lacked flavor.,Food,Review Menu & Kitchen Quality
I asked for a towel at the pool but the staff ignored us.,Services,Staff Training Required
I ordered pasta but it tasted terrible.,Food,Review Menu & Kitchen Quality
The TV in my room was damp.,Rooms,Inspect Room & Maintenance
"Nothing to do here, kids club is outdated.",Recreation,Upgrade Pool & Activities
The toilet makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Terrible dining experience, rice made me sick.",Food,Review Menu & Kitchen Quality
"Service was terrible, the receptionist refused to help.",Services,Staff Training Required
"We were bored, the beach needs an upgrade.",Recreation,Upgrade Pool & Activities
"Disappointed with the gym, it was expensive.",Recreation,Upgrade Pool & Activities
"Please fix the wifi, it is clogged.",Rooms,Inspect Room & Maintenance
"Room maintenance is poor, balcony kept failing.",Rooms,Inspect Room & Maintenance
Very impolite behavior from the receptionist.,Services,Staff Training Required
"Hotel needs more fun, entertainment was small.",Recreation,Upgrade Pool & Activities
The dessert was oily.,Food,Review Menu & Kitchen Quality
The curtain smells like mildew.,Rooms,Inspect Room & Maintenance
I asked for a towel at the pool but the staff was on their phone.,Services,Staff Training Required
The fish was raw.,Food,Review Menu & Kitchen Quality
"Kitchen needs improvement, cake was dry.",Food,Review Menu & Kitchen Quality
"We were bored, the spa needs an upgrade.",Recreation,Upgrade Pool & Activities
"Disappointed with the beach, it was cold.",Recreation,Upgrade Pool & Activities
Very mean behavior from the server.,Services,Staff Training Required
The toilet makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
We were treated poorly by a lazy bartender.,Services,Staff Training Required
I ordered pasta but it was disappointing.,Food,Review Menu & Kitchen Quality
"Please fix the ceiling, it is dusty.",Rooms,Inspect Room & Maintenance
The cleaning staff was extremely incompetent.,Services,Staff Training Required
Room 201 has a dirty air conditioner.,Rooms,Inspect Room & Maintenance
