text,action,category,cleaned_text,char_count,word_count,sentiment_score
Activity director was rude to the guests.,Recreation Staff Review,Recreation,activity director wa rude to the guest,41,7,-1
"Honestly, the steak was tough and flavorless.",Revise Menu Quality,Food,honestly the steak wa tough and flavorless,45,7,0
Action needed: The server was rude when I asked for water.,Staff Training (Food),Food,action needed the server wa rude when i asked for water,58,11,-1
Not happy. The concierge made a rude comment about my appearance.,Disciplinary Action,Services,not happy the concierge made a rude comment about my appearance,65,11,-1
Not happy. Priority check-in for members was not honored.,Review Check-in Process,Services,not happy priority checkin for member wa not honored,57,9,0
everything tastes like frozen food reheated.,Revise Menu Quality,Food,everything taste like frozen food reheated,44,6,0
The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms,the room smelled like stale cigarette smoke,44,7,0
"Feedback: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,feedback towel are thin scratchy and old,45,7,-1
Feedback: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,feedback kid club staff seemed bored and inattentive,55,8,0
Feedback: The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food,feedback the buffet area looked unclean and messy,51,8,0
"Honestly, conflicting information from different staff members.",Staff Communication Training,Services,honestly conflicting information from different staff member,63,7,0
I want a refund for this terrible meal.,Compensate Guest,Food,i want a refund for this terrible meal,39,8,-1
Feedback: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation,feedback cable machine is stuck and dangerous,47,7,0
Dead bugs on the windowsill. Terrible.,Deep Clean & Maintenance,Rooms,dead bug on the windowsill terrible,38,6,-1
Not happy. Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation,not happy tile around the pool are broken and sharp,54,10,-1
"Honestly, debris and leaves floating in the water.",Pool Maintenance,Recreation,honestly debris and leaf floating in the water,50,8,0
the pasta was overcooked and mushy.,Revise Menu Quality,Food,the pasta wa overcooked and mushy,35,6,0
they didn't tell us the pool was under maintenance.,Staff Communication Training,Services,they didnt tell u the pool wa under maintenance,51,9,0
Not happy. Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food,not happy glass had lipstick mark on it,42,8,0
"Honestly, windows were dirty and hard to see through.",Deep Clean & Maintenance,Rooms,honestly window were dirty and hard to see through,53,9,-1
Feedback: Called reception but no one answered the phone.,Staff Communication Training,Services,feedback called reception but no one answered the phone,57,9,0
Action needed: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms,action needed air conditioner is loud and barely cool the room,65,11,0
"Honestly, they didn't tell us the pool was under maintenance.",Staff Communication Training,Services,honestly they didnt tell u the pool wa under maintenance,61,10,0
the room is infested with insects.,Pest Control Investigation,Rooms,the room is infested with insect,34,6,0
Feedback: No iron or ironing board in the room.,Upgrade Room Amenities,Rooms,feedback no iron or ironing board in the room,47,9,0
Feedback: Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food,feedback saw a cockroach near the kitchen entrance,52,8,0
Feedback: They refused to accept my voucher.,Compensate Guest,Food,feedback they refused to accept my voucher,44,7,0
mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms,mosquito in the room kept me up all night,44,9,0
Not happy. Minibar was empty and not working.,Upgrade Room Amenities,Rooms,not happy minibar wa empty and not working,45,8,0
"Honestly, unprofessional behavior from the night manager.",Disciplinary Action,Services,honestly unprofessional behavior from the night manager,57,7,0
Review: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food,review our anniversary dinner wa ruined by the terrible service,66,10,-1
Review: Check-in line was huge and only one counter open.,Review Check-in Process,Services,review checkin line wa huge and only one counter open,57,10,0
The carpet was stained and smelled of mold. Terrible.,Deep Clean & Maintenance,Rooms,the carpet wa stained and smelled of mold terrible,53,9,-2
Feedback: The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms,feedback the sheet had spot and didnt look fresh,53,9,0
the dessert was stale and dry.,Revise Menu Quality,Food,the dessert wa stale and dry,30,6,0
Not happy. Conflicting information from different staff members.,Staff Communication Training,Services,not happy conflicting information from different staff member,64,8,0
The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food,the hostess wa welcoming but the server were grumpy,54,9,0
"Not happy. We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food,not happy we waited hour for our food this is unacceptable,64,12,0
Housekeeper stole money from my wallet.,Disciplinary Action,Services,housekeeper stole money from my wallet,39,6,0
"Honestly, they charged us for items we didn't order.",Compensate Guest,Food,honestly they charged u for item we didnt order,52,9,0
"Honestly, housekeeper stole money from my wallet.",Disciplinary Action,Services,honestly housekeeper stole money from my wallet,49,7,0
Not happy. I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food,not happy i got food poisoning after eating the seafood,57,10,0
They charged us for items we didn't order.,Compensate Guest,Food,they charged u for item we didnt order,42,8,0
Not happy. The pasta was overcooked and mushy.,Revise Menu Quality,Food,not happy the pasta wa overcooked and mushy,46,8,0
Lobby is chaotic and disorganized.,Review Check-in Process,Services,lobby is chaotic and disorganized,34,5,0
"Honestly, the concierge made a rude comment about my appearance.",Disciplinary Action,Services,honestly the concierge made a rude comment about my appearance,64,10,-1
wifi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms,wifi signal is too weak to work in the room,44,10,0
Action needed: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,action needed kid club staff seemed bored and inattentive,60,9,0
housekeeper stole money from my wallet.,Disciplinary Action,Services,housekeeper stole money from my wallet,39,6,0
Feedback: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food,feedback they lost our reservation even though we booked week ago,68,11,0
Feedback: The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms,feedback the pillow are lumpy and uncomfortable,50,7,0
Not happy. Misunderstanding about the room rate caused issues.,Staff Communication Training,Services,not happy misunderstanding about the room rate caused issue,62,9,0
"Honestly, misunderstanding about the room rate caused issues.",Staff Communication Training,Services,honestly misunderstanding about the room rate caused issue,61,8,0
Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation,elliptical machine make a squeaking sound,43,6,0
"Honestly, no iron or ironing board in the room.",Upgrade Room Amenities,Rooms,honestly no iron or ironing board in the room,47,9,0
"Honestly, the hostess was welcoming but the servers were grumpy.",Staff Training (Food),Food,honestly the hostess wa welcoming but the server were grumpy,64,10,0
Action needed: Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms,action needed saw ant marching across the bathroom sink,58,9,0
Gym equipment is ancient and rusty.,Update Gym Equipment,Recreation,gym equipment is ancient and rusty,35,6,0
tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation,tour guide gave u incorrect historical info,45,7,0
Review: Debris and leaves floating in the water.,Pool Maintenance,Recreation,review debris and leaf floating in the water,48,8,0
Not happy. No iron or ironing board in the room.,Upgrade Room Amenities,Rooms,not happy no iron or ironing board in the room,48,10,0
Not happy. No one told us about the construction noise.,Staff Communication Training,Services,not happy no one told u about the construction noise,55,10,-1
Not happy. Everything tastes like frozen food reheated.,Revise Menu Quality,Food,not happy everything taste like frozen food reheated,55,8,0
Debris and leaves floating in the water.,Pool Maintenance,Recreation,debris and leaf floating in the water,40,7,0
"Not happy. Pool was freezing cold, heater broken.",Pool Maintenance,Recreation,not happy pool wa freezing cold heater broken,49,8,-2
"Honestly, evidence of termites in the wooden furniture.",Pest Control Investigation,Rooms,honestly evidence of termite in the wooden furniture,55,8,0
Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms,bed bug bit me all over my leg,33,8,0
Review: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation,review pool ladder are loose and dangerous,45,7,0
The sheets had spots and didn't look fresh. Terrible.,Deep Clean & Maintenance,Rooms,the sheet had spot and didnt look fresh terrible,53,9,-1
Feedback: Minibar was empty and not working.,Upgrade Room Amenities,Rooms,feedback minibar wa empty and not working,44,7,0
Everything tastes like frozen food reheated. Terrible.,Revise Menu Quality,Food,everything taste like frozen food reheated terrible,54,7,-1
Housekeeper stole money from my wallet. Terrible.,Disciplinary Action,Services,housekeeper stole money from my wallet terrible,49,7,-1
Feedback: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms,feedback the bathroom tile had mold in the grout,51,9,-1
"Honestly, the buffet area looked unclean and messy.",Inspect Kitchen Hygiene,Food,honestly the buffet area looked unclean and messy,51,8,0
Review: They couldn't find my booking in the system.,Review Check-in Process,Services,review they couldnt find my booking in the system,52,9,0
Action needed: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food,action needed glass had lipstick mark on it,46,8,0
"Honestly, the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation,honestly the gym smell like sweat no ventilation,52,8,0
Review: Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation,review spa therapist wa chatting during the massage,54,8,0
Action needed: Staff seemed confused by the check-in software.,Review Check-in Process,Services,action needed staff seemed confused by the checkin software,62,9,0
Misunderstanding about the room rate caused issues. Terrible.,Staff Communication Training,Services,misunderstanding about the room rate caused issue terrible,61,8,-1
Action needed: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,action needed kid club staff seemed bored and inattentive,60,9,0
Check-in line was huge and only one counter open.,Review Check-in Process,Services,checkin line wa huge and only one counter open,49,9,0
"Honestly, unprofessional behavior from the night manager.",Disciplinary Action,Services,honestly unprofessional behavior from the night manager,57,7,0
Debris and leaves floating in the water. Terrible.,Pool Maintenance,Recreation,debris and leaf floating in the water terrible,50,8,-1
Feedback: They didn't tell us the pool was under maintenance.,Staff Communication Training,Services,feedback they didnt tell u the pool wa under maintenance,61,10,0
"Honestly, priority check-in for members was not honored.",Review Check-in Process,Services,honestly priority checkin for member wa not honored,56,8,0
Charged 5 stars price for 1 star food.,Compensate Guest,Food,charged star price for star food,38,8,0
The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food,the buffet area looked unclean and messy,41,7,0
The concierge made a rude comment about my appearance. Terrible.,Disciplinary Action,Services,the concierge made a rude comment about my appearance terrible,64,10,-2
Not happy. No supervision in the children's play area.,Recreation Staff Review,Recreation,not happy no supervision in the childrens play area,54,9,0
Not happy. Asked for no onions but got onions anyway.,Staff Training (Food),Food,not happy asked for no onion but got onion anyway,53,10,0
Feedback: Activity director was rude to the guests.,Recreation Staff Review,Recreation,feedback activity director wa rude to the guest,51,8,-1
"Action needed: Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services,action needed staff speaks very poor english hard to communicate,67,10,-1
Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation,spa therapist wa chatting during the massage,46,7,0
minibar was empty and not working.,Upgrade Room Amenities,Rooms,minibar wa empty and not working,34,6,0
Action needed: Water looked stagnant and dirty.,Pool Maintenance,Recreation,action needed water looked stagnant and dirty,47,7,-1
Conflicting information from different staff members. Terrible.,Staff Communication Training,Services,conflicting information from different staff member terrible,63,7,-1
Action needed: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food,action needed waiter were ignoring u and chatting among themselves,70,10,0
Action needed: The bill included a service charge that was not mentioned.,Compensate Guest,Food,action needed the bill included a service charge that wa not mentioned,73,12,0
they forgot to give us our wake-up call.,Staff Communication Training,Services,they forgot to give u our wakeup call,40,8,0
"Honestly, lifeguard was on their phone the whole time.",Recreation Staff Review,Recreation,honestly lifeguard wa on their phone the whole time,54,9,0
Feedback: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services,feedback bellboy didnt explain how to use the key card,57,10,0
Not happy. Housekeeper stole money from my wallet.,Disciplinary Action,Services,not happy housekeeper stole money from my wallet,50,8,0
Action needed: No supervision in the children's play area.,Recreation Staff Review,Recreation,action needed no supervision in the childrens play area,58,9,0
We were promised a complimentary drink but never got it.,Compensate Guest,Food,we were promised a complimentary drink but never got it,56,10,0
"Not happy. Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms,not happy dust everywhere especially under the bed,53,8,0
Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,kid club staff seemed bored and inattentive,45,7,0
"staff speaks very poor english, hard to communicate.",Staff Communication Training,Services,staff speaks very poor english hard to communicate,52,8,-1
"Honestly,  filtration system was making a loud noise.",Pool Maintenance,Recreation,honestly filtration system wa making a loud noise,53,8,0
they didn't tell us the pool was under maintenance.,Staff Communication Training,Services,they didnt tell u the pool wa under maintenance,51,9,0
Review: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food,review i got food poisoning after eating the seafood,54,9,0
Feedback: Employee was on their phone ignoring guests.,Disciplinary Action,Services,feedback employee wa on their phone ignoring guest,54,8,0
"Honestly, they forgot to give us our wake-up call.",Staff Communication Training,Services,honestly they forgot to give u our wakeup call,50,9,0
Feedback: They charged us for items we didn't order.,Compensate Guest,Food,feedback they charged u for item we didnt order,52,9,0
Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms,window were dirty and hard to see through,43,8,-1
Unprofessional behavior from the night manager. Terrible.,Disciplinary Action,Services,unprofessional behavior from the night manager terrible,57,7,-1
Action needed: Conflicting information from different staff members.,Staff Communication Training,Services,action needed conflicting information from different staff member,68,8,0
Not happy. Bartender was visibly drunk.,Disciplinary Action,Services,not happy bartender wa visibly drunk,39,6,0
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food,feedback the bill included a service charge that wa not mentioned,68,11,0
Not enough weights for a proper workout.,Update Gym Equipment,Recreation,not enough weight for a proper workout,40,7,0
"Feedback: Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms,feedback dust everywhere especially under the bed,52,7,0
curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms,curtain were dusty and triggered my allergy,47,7,0
Service in the restaurant was incredibly slow. Terrible.,Staff Training (Food),Food,service in the restaurant wa incredibly slow terrible,56,8,-1
"Action needed: Key cards didn't work, had to go back down.",Review Check-in Process,Services,action needed key card didnt work had to go back down,58,11,0
Action needed: Water looked stagnant and dirty.,Pool Maintenance,Recreation,action needed water looked stagnant and dirty,47,7,-1
Review: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation,review beach staff demanded tip for chair,45,7,0
"Honestly, there was a strange object in the soup.",Inspect Kitchen Hygiene,Food,honestly there wa a strange object in the soup,49,9,0
"Worst dining experience ever, I expect compensation.",Compensate Guest,Food,worst dining experience ever i expect compensation,52,7,-1
Review: They demanded a cash deposit unexpectedly.,Review Check-in Process,Services,review they demanded a cash deposit unexpectedly,50,7,0
Review: The room is infested with insects.,Pest Control Investigation,Rooms,review the room is infested with insect,42,7,0
There was a strange object in the soup. Terrible.,Inspect Kitchen Hygiene,Food,there wa a strange object in the soup terrible,49,9,-1
Action needed: They forgot to give us our wake-up call.,Staff Communication Training,Services,action needed they forgot to give u our wakeup call,55,10,0
Action needed: Activity director was rude to the guests.,Recreation Staff Review,Recreation,action needed activity director wa rude to the guest,56,9,-1
the bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms,the bathroom tile had mold in the grout,41,8,-1
Not happy. The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms,not happy the pillow are lumpy and uncomfortable,51,8,0
"Action needed: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms,action needed need better lighting the room is too dim,57,10,0
Action needed: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services,action needed room wasnt ready at pm checkin time,55,10,0
Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms,evidence of termite in the wooden furniture,45,7,0
Water looked stagnant and dirty.,Pool Maintenance,Recreation,water looked stagnant and dirty,32,5,-1
Review: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food,review glass had lipstick mark on it,39,7,0
Review: Gym is too small for the number of guests.,Update Gym Equipment,Recreation,review gym is too small for the number of guest,50,10,-1
they demanded a cash deposit unexpectedly.,Review Check-in Process,Services,they demanded a cash deposit unexpectedly,42,6,0
Not happy. Staff member was smoking right outside the lobby door.,Disciplinary Action,Services,not happy staff member wa smoking right outside the lobby door,65,11,0
security guard was sleeping on the job.,Disciplinary Action,Services,security guard wa sleeping on the job,39,7,0
"Honestly, lizard on the ceiling.",Pest Control Investigation,Rooms,honestly lizard on the ceiling,32,5,0
Charged 5 stars price for 1 star food.,Compensate Guest,Food,charged star price for star food,38,8,0
The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms,the tv is tiny and ha no channel,35,8,0
Action needed: I found a hair in my food.,Inspect Kitchen Hygiene,Food,action needed i found a hair in my food,41,9,0
Action needed: Asked for no onions but got onions anyway.,Staff Training (Food),Food,action needed asked for no onion but got onion anyway,57,10,0
They demanded a cash deposit unexpectedly. Terrible.,Review Check-in Process,Services,they demanded a cash deposit unexpectedly terrible,52,7,-1
Action needed: Priority check-in for members was not honored.,Review Check-in Process,Services,action needed priority checkin for member wa not honored,61,9,0
The server was rude when I asked for water. Terrible.,Staff Training (Food),Food,the server wa rude when i asked for water terrible,53,10,-2
Feedback: Cockroach in the shower.,Pest Control Investigation,Rooms,feedback cockroach in the shower,34,5,0
Saw ants marching across the bathroom sink. Terrible.,Pest Control Investigation,Rooms,saw ant marching across the bathroom sink terrible,53,8,-1
Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation,lifeguard wa on their phone the whole time,44,8,0
Feedback: Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms,feedback evidence of termite in the wooden furniture,55,8,0
Action needed: Food was cold when it arrived at the table.,Revise Menu Quality,Food,action needed food wa cold when it arrived at the table,58,11,-1
Not happy. Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food,not happy waiter were ignoring u and chatting among themselves,66,10,0
"Honestly, asked for no onions but got onions anyway.",Staff Training (Food),Food,honestly asked for no onion but got onion anyway,52,9,0
Action needed: Staff member was smoking right outside the lobby door.,Disciplinary Action,Services,action needed staff member wa smoking right outside the lobby door,69,11,0
Feedback: Lizard on the ceiling.,Pest Control Investigation,Rooms,feedback lizard on the ceiling,32,5,0
"Action needed: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms,action needed need better lighting the room is too dim,57,10,0
the bill included a service charge that was not mentioned.,Compensate Guest,Food,the bill included a service charge that wa not mentioned,58,10,0
"Action needed: We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food,action needed we waited hour for our food this is unacceptable,68,12,0
gym is too small for the number of guests.,Update Gym Equipment,Recreation,gym is too small for the number of guest,42,9,-1
Hygiene standards in the restaurant seem very low. Terrible.,Inspect Kitchen Hygiene,Food,hygiene standard in the restaurant seem very low terrible,60,9,-1
"Honestly, they lost our reservation even though we booked weeks ago.",Compensate Guest,Food,honestly they lost our reservation even though we booked week ago,68,11,0
"Honestly, need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms,honestly need better lighting the room is too dim,52,9,0
Feedback: They couldn't find my booking in the system.,Review Check-in Process,Services,feedback they couldnt find my booking in the system,54,9,0
"Honestly, staff didn't know the ingredients of the dishes.",Staff Training (Food),Food,honestly staff didnt know the ingredient of the dish,58,9,0
i think i saw a mouse behind the curtain.,Pest Control Investigation,Rooms,i think i saw a mouse behind the curtain,41,9,0
Action needed: Bike seat is broken.,Update Gym Equipment,Recreation,action needed bike seat is broken,35,6,-1
The room smelled like stale cigarette smoke. Terrible.,Deep Clean & Maintenance,Rooms,the room smelled like stale cigarette smoke terrible,54,8,-1
Action needed: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation,action needed lifeguard wa on their phone the whole time,59,10,0
Feedback: There was a spider on the pillow.,Pest Control Investigation,Rooms,feedback there wa a spider on the pillow,43,8,0
"Honestly, curtains were dusty and triggered my allergies.",Deep Clean & Maintenance,Rooms,honestly curtain were dusty and triggered my allergy,57,8,0
Review: There was a spider on the pillow.,Pest Control Investigation,Rooms,review there wa a spider on the pillow,41,8,0
"pool was freezing cold, heater broken.",Pool Maintenance,Recreation,pool wa freezing cold heater broken,38,6,-2
beach staff demanded tips for chairs.,Recreation Staff Review,Recreation,beach staff demanded tip for chair,37,6,0
Review: Lobby is chaotic and disorganized.,Review Check-in Process,Services,review lobby is chaotic and disorganized,42,6,0
Feedback: Pool shower wasn't working.,Pool Maintenance,Recreation,feedback pool shower wasnt working,37,5,0
scum line around the edge of the pool.,Pool Maintenance,Recreation,scum line around the edge of the pool,38,8,0
Not happy. Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation,not happy tour guide gave u incorrect historical info,56,9,0
"Honestly, they refused to accept my voucher.",Compensate Guest,Food,honestly they refused to accept my voucher,44,7,0
"Honestly, the pillows are lumpy and uncomfortable.",Upgrade Room Amenities,Rooms,honestly the pillow are lumpy and uncomfortable,50,7,0
"Honestly, we waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food,honestly we waited hour for our food this is unacceptable,63,11,0
Not happy. Staff was arguing loudly in the hallway.,Disciplinary Action,Services,not happy staff wa arguing loudly in the hallway,51,9,0
Feedback: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services,feedback bellboy didnt explain how to use the key card,57,10,0
Not happy. The waiter spilled soup on me and didn't apologize.,Staff Training (Food),Food,not happy the waiter spilled soup on me and didnt apologize,62,11,0
Review: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food,review i got food poisoning after eating the seafood,54,9,0
Review: Gym equipment is ancient and rusty.,Update Gym Equipment,Recreation,review gym equipment is ancient and rusty,43,7,0
bed bugs bit me all over my legs.,Pest Control Investigation,Rooms,bed bug bit me all over my leg,33,8,0
the carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms,the carpet wa stained and smelled of mold,43,8,-1
Feedback: Treadmills were all out of order.,Update Gym Equipment,Recreation,feedback treadmill were all out of order,43,7,0
Staff member laughed at my complaint.,Disciplinary Action,Services,staff member laughed at my complaint,37,6,0
Feedback: I found a hair in my food.,Inspect Kitchen Hygiene,Food,feedback i found a hair in my food,36,8,0
"Honestly, they refused to accept my voucher.",Compensate Guest,Food,honestly they refused to accept my voucher,44,7,0
Feedback: Everything tastes like frozen food reheated.,Revise Menu Quality,Food,feedback everything taste like frozen food reheated,54,7,0
The plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food,the plate were dirty and had leftover food stain,51,9,-1
The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms,the toilet wasnt flushed when we arrived,42,7,0
They demanded a cash deposit unexpectedly. Terrible.,Review Check-in Process,Services,they demanded a cash deposit unexpectedly terrible,52,7,-1
"Worst dining experience ever, I expect compensation. Terrible.",Compensate Guest,Food,worst dining experience ever i expect compensation terrible,62,8,-2
"Action needed: Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms,action needed dust everywhere especially under the bed,57,8,0
"Honestly, the server was rude when i asked for water.",Staff Training (Food),Food,honestly the server wa rude when i asked for water,53,10,-1
"Honestly, i got food poisoning after eating the seafood.",Inspect Kitchen Hygiene,Food,honestly i got food poisoning after eating the seafood,56,9,0
Not happy. The buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food,not happy the buffet area looked unclean and messy,52,9,0
No one came to clear our table for 30 minutes.,Staff Training (Food),Food,no one came to clear our table for minute,46,10,0
Review: Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food,review staff didnt know the ingredient of the dish,56,9,0
Review: They forgot to give us our wake-up call.,Staff Communication Training,Services,review they forgot to give u our wakeup call,48,9,0
"Not happy. Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,not happy towel are thin scratchy and old,46,8,-1
"Honestly, the room is infested with insects.",Pest Control Investigation,Rooms,honestly the room is infested with insect,44,7,0
"Honestly, the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation,honestly the gym smell like sweat no ventilation,52,8,0
Action needed: No iron or ironing board in the room.,Upgrade Room Amenities,Rooms,action needed no iron or ironing board in the room,52,10,0
Review: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation,review lifeguard wa on their phone the whole time,52,9,0
Review: No one told us about the construction noise.,Staff Communication Training,Services,review no one told u about the construction noise,52,9,-1
Review: It took 45 minutes just to check in.,Review Check-in Process,Services,review it took minute just to check in,44,9,0
Review: Employee was on their phone ignoring guests.,Disciplinary Action,Services,review employee wa on their phone ignoring guest,52,8,0
"Action needed: Pool was freezing cold, heater broken.",Pool Maintenance,Recreation,action needed pool wa freezing cold heater broken,53,8,-2
Not happy. They couldn't find my booking in the system.,Review Check-in Process,Services,not happy they couldnt find my booking in the system,55,10,0
"Review: Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation,review too much chlorine in the pool burned my eye,54,10,0
water looked stagnant and dirty.,Pool Maintenance,Recreation,water looked stagnant and dirty,32,5,-1
Review: Unprofessional behavior from the night manager.,Disciplinary Action,Services,review unprofessional behavior from the night manager,55,7,0
the coffee was burnt and bitter.,Revise Menu Quality,Food,the coffee wa burnt and bitter,32,6,0
the server was rude when i asked for water.,Staff Training (Food),Food,the server wa rude when i asked for water,43,9,-1
Action needed: Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation,action needed tennis coach didnt show up for the lesson,58,10,0
Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation,tour guide gave u incorrect historical info,45,7,0
Feedback: Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms,feedback found trash from previous guest in the drawer,57,9,0
Action needed:  Filtration system was making a loud noise.,Pool Maintenance,Recreation,action needed filtration system wa making a loud noise,58,9,0
Priority check-in for members was not honored. Terrible.,Review Check-in Process,Services,priority checkin for member wa not honored terrible,56,8,-1
Feedback: I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms,feedback i think i saw a mouse behind the curtain,51,10,0
They forgot to give us our wake-up call.,Staff Communication Training,Services,they forgot to give u our wakeup call,40,8,0
Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food,hygiene standard in the restaurant seem very low,50,8,0
"Review: Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services,review staff speaks very poor english hard to communicate,60,9,-1
Beach staff demanded tips for chairs. Terrible.,Recreation Staff Review,Recreation,beach staff demanded tip for chair terrible,47,7,-1
I want a refund for this terrible meal.,Compensate Guest,Food,i want a refund for this terrible meal,39,8,-1
Lobby is chaotic and disorganized. Terrible.,Review Check-in Process,Services,lobby is chaotic and disorganized terrible,44,6,-1
There was a strange object in the soup.,Inspect Kitchen Hygiene,Food,there wa a strange object in the soup,39,8,0
The pool water was cloudy and green.,Pool Maintenance,Recreation,the pool water wa cloudy and green,36,7,0
Mosquitoes in the room kept me up all night. Terrible.,Pest Control Investigation,Rooms,mosquito in the room kept me up all night terrible,54,10,-1
staff member laughed at my complaint.,Disciplinary Action,Services,staff member laughed at my complaint,37,6,0
"Not happy. Key cards didn't work, had to go back down.",Review Check-in Process,Services,not happy key card didnt work had to go back down,54,11,0
Not happy. Cockroach in the shower.,Pest Control Investigation,Rooms,not happy cockroach in the shower,35,6,0
Review: The plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food,review the plate were dirty and had leftover food stain,59,10,-1
Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,kid club staff seemed bored and inattentive,45,7,0
The room smelled like stale cigarette smoke. Terrible.,Deep Clean & Maintenance,Rooms,the room smelled like stale cigarette smoke terrible,54,8,-1
Review: The pool water was cloudy and green.,Pool Maintenance,Recreation,review the pool water wa cloudy and green,44,8,0
cable machine is stuck and dangerous.,Update Gym Equipment,Recreation,cable machine is stuck and dangerous,37,6,0
"Review: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,review towel are thin scratchy and old,43,7,-1
Not happy. No iron or ironing board in the room.,Upgrade Room Amenities,Rooms,not happy no iron or ironing board in the room,48,10,0
I think I saw a mouse behind the curtain. Terrible.,Pest Control Investigation,Rooms,i think i saw a mouse behind the curtain terrible,51,10,-1
Asked for no onions but got onions anyway.,Staff Training (Food),Food,asked for no onion but got onion anyway,42,8,0
Feedback: They charged us for items we didn't order.,Compensate Guest,Food,feedback they charged u for item we didnt order,52,9,0
